LAS mean service time (hr),DEN mean service time (hr),MDW mean service time (hr),LAS initial aircraft reserve,DEN initial aircraft reserve,MDW initial aircraft reserve,LAS->DEN travel time (hr),LAS->MDW travel time (hr),DEN->MDW travel time (hr),DEN->LAS travel time (hr),MDW->LAS travel time (hr),MDW->DEN travel time (hr),State,Day,Duration,Date
0.22683164,0.105934344,0.097590476,5.9724007,6.083748,2.33111,1.7477435,3.19145,2.013791,1.7193342,3.7939575,2.4040601,Nominal,0,1,2022-12-01
0.23090841,0.16411163,0.103965744,6.6506333,6.5256476,2.7150314,1.7340646,3.276743,2.014477,1.7490878,3.8348134,2.4738574,Nominal,0,1,2022-12-01
0.22256471,0.14551981,0.06454965,6.9461927,6.0524263,2.596163,1.7146264,3.2778628,1.9819957,1.7628073,3.9125562,2.504272,Nominal,0,1,2022-12-01
0.24327561,0.16991939,0.08460513,6.188547,6.1472955,1.8545383,1.7301272,3.1667655,1.9089581,1.7295575,3.9536474,2.499377,Nominal,0,1,2022-12-01
0.2140944,0.15024963,0.09237835,5.6385956,6.6896048,2.2404842,1.7163306,3.1825004,1.8855647,1.7738092,3.850997,2.4196615,Nominal,0,1,2022-12-01
0.18504402,0.14939922,0.071600586,5.7875543,6.8190565,2.8209705,1.7490529,3.2770786,1.8041928,1.73523,3.9404685,2.5107918,Nominal,0,1,2022-12-01
0.17463002,0.117470734,0.04548019,5.19654,6.2908754,2.476217,1.6769001,3.4128335,1.8906058,1.7865065,3.887195,2.4829717,Nominal,0,1,2022-12-01
0.2708058,0.12349503,0.060023833,6.124009,5.4730616,2.1923344,1.7141533,3.2530928,1.9456989,1.7767344,3.8520782,2.6442478,Nominal,0,1,2022-12-01
0.24458039,0.15545647,0.16025554,6.1157546,6.7991505,2.2691274,1.6992838,3.1698205,1.9155451,1.7814958,3.9049397,2.4218144,Nominal,0,1,2022-12-01
0.18612148,0.2083366,0.06587824,7.2317896,6.106356,2.3797543,1.7041777,3.2431343,1.9041544,1.6536773,3.9596655,2.4812152,Nominal,0,1,2022-12-01
0.31109947,0.13205588,0.07043025,6.3098245,5.8661156,2.417194,1.7284942,3.1037915,1.9347305,1.7962402,3.7277153,2.438945,Nominal,0,1,2022-12-01
0.16610476,0.1677177,0.18091747,6.6952477,6.8478365,2.3520067,1.7100275,3.1883254,1.9611259,1.8951558,3.916147,2.6117325,Nominal,0,1,2022-12-01
0.23816654,0.11466103,0.048086133,7.3757815,6.2422504,2.3265755,1.7093185,3.3464837,1.9143691,1.7934793,3.905793,2.4429088,Nominal,0,1,2022-12-01
0.19903189,0.14365122,0.075378016,7.208861,6.3742805,2.0499423,1.7209449,3.2708595,1.9114438,1.7366058,3.8793864,2.4165866,Nominal,0,1,2022-12-01
0.17284414,0.11406583,0.09436314,5.752222,7.6523657,2.3198166,1.7296602,3.2052612,1.9444615,1.7387674,3.8410876,2.4586828,Nominal,0,1,2022-12-01
0.19593565,0.16385841,0.110507436,6.153649,6.3143973,3.6336834,1.738715,3.2183392,1.987771,1.7790463,3.9853969,2.415213,Nominal,0,1,2022-12-01
0.25045794,0.12700097,0.09256257,6.5578413,6.293506,1.9070911,1.7578253,3.0301762,1.943111,1.7209082,3.889783,2.5053005,Nominal,0,1,2022-12-01
0.18087272,0.14660966,0.067169994,5.519476,6.2781124,2.922207,1.7556604,3.4497356,2.0081558,1.6705377,3.9906073,2.5008476,Nominal,0,1,2022-12-01
0.26362073,0.14158694,0.08264452,5.832038,7.028294,3.318357,1.6348544,3.0500321,2.012991,1.7470703,3.9272258,2.5247636,Nominal,0,1,2022-12-01
0.2057477,0.14336793,0.11815154,7.1035914,5.589321,2.4007246,1.7282737,3.2888126,1.9113727,1.7750839,3.8427281,2.4843605,Nominal,0,1,2022-12-01
0.24787991,0.15987149,0.0814767,6.0518875,6.0460296,2.6059458,1.7249771,3.2289424,2.0169194,1.7739785,3.807808,2.3873174,Nominal,0,1,2022-12-01
0.21013156,0.17288557,0.10423968,7.2934093,5.952371,3.095927,1.7226592,3.286033,1.9710411,1.7392378,3.9133358,2.4089594,Nominal,0,1,2022-12-01
0.2683362,0.09869255,0.18227439,5.469861,5.9390645,2.7045245,1.7502593,3.215991,2.0428808,1.7842268,3.85158,2.4172919,Nominal,0,1,2022-12-01
0.28633368,0.12768638,0.081431665,5.625657,6.482686,2.0792422,1.6106915,3.1808841,1.8867587,1.7529607,3.8511617,2.4402483,Nominal,0,1,2022-12-01
0.17757604,0.13091142,0.04990589,7.1847034,5.9076343,1.8008184,1.7137003,3.2357118,1.8915472,1.8029709,4.048808,2.5670404,Nominal,0,1,2022-12-01
0.24345374,0.110621125,0.054853775,6.4000535,6.426754,2.070834,1.7158325,3.32503,1.8175521,1.7052228,4.0749545,2.4143581,Nominal,0,1,2022-12-01
0.1997064,0.14478372,0.084785506,6.095793,6.030892,2.508096,1.6746665,3.2126434,1.9521835,1.7995493,3.753987,2.4598615,Nominal,0,1,2022-12-01
0.23842208,0.1300675,0.078166455,6.9054246,5.9055834,3.7116454,1.7528579,3.277379,1.9680936,1.7475965,3.8759084,2.3822544,Nominal,0,1,2022-12-01
0.2110431,0.12998858,0.08570116,5.882089,5.800296,2.2514055,1.8149562,3.2817237,1.9848111,1.7580178,3.742205,2.468301,Nominal,0,1,2022-12-01
0.25026104,0.14400922,0.0882572,7.2749624,6.5095735,2.3864338,1.6847445,3.2500346,1.8417386,1.6713958,3.9760792,2.459348,Nominal,0,1,2022-12-01
0.28443465,0.179853,0.08345356,5.384003,6.6350765,2.3414888,1.7534409,3.215254,1.9335861,1.8048153,3.77213,2.4534793,Nominal,0,1,2022-12-01
0.17323,0.18834831,0.09431093,5.9525514,6.115318,2.3558984,1.7857974,3.1614206,2.003931,1.7370062,3.8504465,2.5560308,Nominal,0,1,2022-12-01
0.22366045,0.15933043,0.07733675,6.459766,6.08531,2.4995832,1.6720383,3.2531254,1.864716,1.8141057,3.87991,2.4983575,Nominal,0,1,2022-12-01
0.28620493,0.16176619,0.089417174,6.4469647,6.5279055,2.2894378,1.6763664,3.219031,1.8977082,1.7260263,3.9818263,2.5391495,Nominal,0,1,2022-12-01
0.20121874,0.14504023,0.06349875,6.756274,6.4490914,3.1099973,1.7515883,3.3594453,1.9410478,1.7245127,4.1202745,2.3891108,Nominal,0,1,2022-12-01
0.16196142,0.1964985,0.105610296,7.236104,6.3396034,2.4678874,1.726629,3.3285804,1.9442252,1.6850083,4.006542,2.3822672,Nominal,0,1,2022-12-01
0.23531418,0.14929289,0.10630412,6.37732,6.52287,2.6248899,1.7141976,3.403669,1.8548189,1.7223219,3.915858,2.4342628,Nominal,0,1,2022-12-01
0.2733309,0.17853707,0.11989901,7.164863,6.2703476,3.3286355,1.7207458,3.0859923,1.8506286,1.7648486,3.7969105,2.485106,Nominal,0,1,2022-12-01
0.28371677,0.14813696,0.058231313,6.807064,5.805984,2.568833,1.7046342,3.3275583,1.9345572,1.8156936,3.9004884,2.5644975,Nominal,0,1,2022-12-01
0.19902672,0.2405482,0.083497606,6.2983327,6.655054,2.5360656,1.7438493,3.1415772,2.026933,1.8284385,3.8702345,2.4382706,Nominal,0,1,2022-12-01
0.16248351,0.16938095,0.10308044,6.2287903,6.4920464,2.251614,1.7601155,3.2110596,1.923454,1.8025695,4.1537437,2.521699,Nominal,0,1,2022-12-01
0.27164754,0.113700725,0.068020664,6.6179485,5.927674,2.3154783,1.7648106,3.3008673,1.9235657,1.8271345,3.865949,2.464577,Nominal,0,1,2022-12-01
0.20100662,0.15497491,0.07805569,6.764447,7.0402174,2.064302,1.7130172,3.1881125,1.9286505,1.7721996,3.9597576,2.4523406,Nominal,0,1,2022-12-01
0.21049303,0.09854827,0.072283745,6.0392466,6.7726874,2.6107216,1.6627713,3.1775055,1.9272535,1.7749211,4.096669,2.542239,Nominal,0,1,2022-12-01
0.295158,0.15762357,0.05968927,6.934491,6.4263563,2.6675754,1.7101437,3.231546,1.9193885,1.7335765,3.780336,2.4414864,Nominal,0,1,2022-12-01
0.21348882,0.10822007,0.118924834,6.394224,6.595289,2.2363698,1.6886365,3.1763585,1.9171503,1.810152,4.016052,2.3802588,Nominal,0,1,2022-12-01
0.21809126,0.19776835,0.091001794,7.056678,6.0137897,2.6063106,1.7192401,3.041622,1.8779821,1.7638607,3.9622214,2.5103245,Nominal,0,1,2022-12-01
0.2309069,0.19137625,0.06277345,6.5213842,6.5029836,2.6594906,1.7197397,3.1635027,1.9760451,1.827535,4.014376,2.4093833,Nominal,0,1,2022-12-01
0.18340766,0.21949127,0.05709855,5.475466,6.5852184,2.5645845,1.775552,3.3015316,1.9285997,1.809507,3.951333,2.5424156,Nominal,0,1,2022-12-01
0.24299356,0.19870435,0.081640854,7.4572163,6.873835,2.3164616,1.7289544,3.204684,1.939713,1.7551098,3.8500946,2.4250538,Nominal,0,1,2022-12-01
0.23007916,0.09777631,0.10624685,5.5837603,5.723745,2.5324442,1.7100261,3.288829,2.0388975,1.8157696,4.024997,2.4181097,Nominal,0,1,2022-12-01
0.21345061,0.12790433,0.14822626,5.19528,6.686748,3.0486236,1.7286072,3.1387918,1.816067,1.734603,3.8635652,2.462361,Nominal,0,1,2022-12-01
0.19569156,0.08307937,0.06262106,6.9270315,6.373465,2.6905828,1.7048213,3.1970167,1.88511,1.7458616,3.9875748,2.4922738,Nominal,0,1,2022-12-01
0.18839899,0.124916285,0.051737465,7.5498686,6.324094,1.9604619,1.6760945,3.213773,2.06124,1.8240341,4.1045995,2.4009376,Nominal,0,1,2022-12-01
0.17634074,0.18211898,0.099908605,6.9409966,5.764789,2.9820073,1.6745746,3.0132594,1.9519151,1.7770609,3.9330606,2.5582273,Nominal,0,1,2022-12-01
0.2685864,0.12064042,0.16121083,8.2075,6.4512362,2.9586065,1.7407143,3.1254036,1.9320176,1.7800807,4.1729565,2.384124,Nominal,0,1,2022-12-01
0.21198961,0.14211598,0.07192883,7.0247645,5.8121095,2.4074209,1.7374386,3.0962045,1.9265317,1.7805794,3.984383,2.4964187,Nominal,0,1,2022-12-01
0.2206216,0.16994321,0.08864867,6.2134957,6.379423,3.353635,1.6746118,3.3290064,1.9608247,1.8179579,3.9634638,2.6106818,Nominal,0,1,2022-12-01
0.18642224,0.18845412,0.09382339,6.3482685,6.4087677,2.3704123,1.7838461,3.132873,1.9622941,1.7942722,3.7894256,2.48839,Nominal,0,1,2022-12-01
0.21587484,0.25432232,0.10703334,6.3322177,5.8154926,1.9696434,1.8750099,3.1948786,1.9244173,1.7857177,3.8518596,2.5409095,Nominal,0,1,2022-12-01
0.20700653,0.14190193,0.12923571,6.775319,6.4782424,1.3256022,1.72788,3.2154312,1.902946,1.7470806,3.8665643,2.4234414,Nominal,0,1,2022-12-01
0.32871354,0.14676628,0.09485435,6.6561475,6.7916675,2.4916036,1.7206743,3.3034024,1.965222,1.8270639,3.9545774,2.439062,Nominal,0,1,2022-12-01
0.22815388,0.20503725,0.08212953,5.833371,5.438758,3.1531312,1.7025199,3.3331037,1.9867555,1.8209721,3.726247,2.549929,Nominal,0,1,2022-12-01
0.23722474,0.17395374,0.07813229,6.67049,6.20978,2.3058772,1.7248949,3.1860538,1.8960268,1.7320065,3.9196901,2.5994108,Nominal,0,1,2022-12-01
0.2507172,0.1534112,0.109419845,7.0912285,6.419781,2.4287155,1.7232748,3.1753542,1.8146912,1.779859,3.874221,2.4592042,Nominal,0,1,2022-12-01
0.22235359,0.18389098,0.12492966,6.375038,6.003531,3.499379,1.7283722,3.4013019,1.964204,1.7968506,4.0540133,2.5038855,Nominal,0,1,2022-12-01
0.26835954,0.17630245,0.06694326,6.2290664,6.6131716,2.5934665,1.677676,3.1890943,1.9672941,1.7189416,3.9767454,2.5321581,Nominal,0,1,2022-12-01
0.25801286,0.12678273,0.07715479,5.4330125,5.8620152,2.9251542,1.761015,3.2315798,1.9109328,1.7560081,3.9343643,2.498565,Nominal,0,1,2022-12-01
0.2595518,0.17043568,0.06609372,7.0002055,6.1551747,2.978952,1.7081623,3.3201602,1.9282793,1.7465619,4.075527,2.6523442,Nominal,0,1,2022-12-01
0.23772472,0.20508225,0.073250346,6.862711,5.963828,2.1498032,1.6811932,3.2987325,1.9107617,1.8417358,4.0431137,2.4787889,Nominal,0,1,2022-12-01
0.2858996,0.18788138,0.06646208,6.1440215,6.9348254,2.3360963,1.7499124,3.3321915,1.9372103,1.7670766,3.8315058,2.6407769,Nominal,0,1,2022-12-01
0.23910673,0.15161954,0.061209857,6.3234696,6.4547,2.849593,1.7154019,3.2926316,1.951774,1.7610552,3.8854568,2.4486556,Nominal,0,1,2022-12-01
0.21224095,0.17891915,0.09631224,6.3901634,5.633507,3.1598644,1.7414693,3.2452486,1.8324628,1.7189922,4.0167274,2.4837515,Nominal,0,1,2022-12-01
0.34449717,0.20550264,0.13369061,7.612935,6.608435,2.4004848,1.7132113,3.370461,1.835889,1.7745492,3.9904733,2.584887,Nominal,0,1,2022-12-01
0.26175776,0.15233074,0.08852197,5.5002112,6.6109614,2.4261432,1.6982771,3.0713587,1.9168481,1.7068065,3.771629,2.6782556,Nominal,0,1,2022-12-01
0.26247516,0.14344321,0.08224183,7.3849163,5.9346337,3.2679446,1.7116566,3.1481395,1.97039,1.7666291,3.9609265,2.5644116,Nominal,0,1,2022-12-01
0.24703145,0.17748697,0.09310797,5.969919,6.1175942,2.9190388,1.73484,3.253791,1.944993,1.7915187,3.9477453,2.6004786,Nominal,0,1,2022-12-01
0.2598974,0.16892087,0.092222415,6.6056395,6.9068365,2.7707524,1.6837183,3.3859694,2.024515,1.8044419,3.8778653,2.4507895,Nominal,0,1,2022-12-01
0.23002966,0.1014435,0.07144475,6.0176644,7.1197305,2.3254337,1.6726285,3.141403,1.8470169,1.7644558,3.9410763,2.506377,Nominal,0,1,2022-12-01
0.3656411,0.15640065,0.05797506,8.299139,6.489413,2.651834,1.7273233,3.0838778,1.9365709,1.7049408,3.8958864,2.4357073,Nominal,0,1,2022-12-01
0.16926856,0.10753956,0.06746866,5.863215,6.48835,2.986406,1.644096,3.2553096,1.9843575,1.783821,3.9744267,2.458452,Nominal,0,1,2022-12-01
0.22930005,0.1512369,0.09746331,6.782305,6.631421,2.812993,1.7392337,3.1312888,1.9579167,1.7630693,4.1669407,2.5341363,Nominal,0,1,2022-12-01
0.26991305,0.15224826,0.057647213,6.7059884,6.599929,2.5994737,1.6783444,3.1265492,2.0157223,1.7467259,3.923269,2.4255526,Nominal,0,1,2022-12-01
0.27419022,0.22798763,0.052304015,8.329887,6.516968,2.6068802,1.6325805,3.0488536,1.9394839,1.760173,3.7415175,2.5129447,Nominal,0,1,2022-12-01
0.22079414,0.12660098,0.061102603,6.174561,6.3616242,2.0771813,1.6884656,3.2329667,1.9453037,1.7790638,3.9272938,2.4942243,Nominal,0,1,2022-12-01
0.26044548,0.10682422,0.06384385,5.964151,5.5555954,2.107901,1.6595384,3.2796857,1.8804623,1.7803038,4.1362815,2.4800148,Nominal,0,1,2022-12-01
